Country,Name,State,Year,Longitude,Latitude
India,Pratappura Dam,Gujarat,1930,73.412927,22.54358
India,Puna Dam,Gujarat,1954,69.867237,22.326263
India,Rajada Dam,Gujarat,1946,69.484727,22.904059
India,Rajawal Dam,Gujarat,1980,71.852884,21.556458
India,Rangmati Dam,Gujarat,1984,70.091031,22.345529
India,Raningpar Dam,Gujarat,1987,70.915535,22.2883
India,Reshamadi Galol Dam,Gujarat,1992,70.689598,21.604664
India,Rojki Dam,Gujarat,1965,71.960731,21.20566
India,Sanala Dam,Gujarat,1982,71.567704,21.955863
India,Sani Dam,Gujarat,1992,69.231021,22.004797
India,Sankroli Dam,Gujarat,1965,70.689598,21.604664
India,Sargualla Dam,Gujarat,1954,69.1072,23.189755
India,Sasoi Dam,Gujarat,1954,70.004544,22.338543
India,Shingoda Dam,Gujarat,1980,70.763063,20.934747
India,Shivlakha Dam,Gujarat,1954,70.647379,23.389505
India,Sod Vadar Dam,Gujarat,1989,70.474656,21.831161
India,Solsandha Dam,Gujarat,1935,72.901062,23.977485
India,Sonmati Dam,Gujarat,1992,69.867237,22.326263
India,Sonwadi Dam,Gujarat,1983,72.192913,24.648458
India,Sorthi Dam,Gujarat,1975,69.770133,21.678652
India,Sukhi Dam,Gujarat,1986,74.173908,22.754424
India,Surajwadi Dam,Gujarat,1954,71.255783,21.13445
India,Suvi Dam,Gujarat,1969,70.46903,23.615627
India,Talvada Dam,Gujarat,1983,73.827417,23.306828
India,Tappar Dam,Gujarat,1995,70.124187,23.238831
India,Targol Dam,Gujarat,1973,73.441005,22.540815
India,Uben Dam,Gujarat,1992,70.689598,21.604664
India,Umaria Dam,Gujarat,1992,74.173908,22.754424
India,Und I Dam,Gujarat,1988,70.328122,22.430016
India,Vachappari Dam,Gujarat,1970,70.797649,22.162895
India,Vaidy Dam,Gujarat,1980,73.466559,23.61285
India,Vali Dam,Gujarat,1990,73.354455,21.646877
India,Vanthali Dam,Gujarat,1972,70.450659,22.164618
